petition_uid,should,people,their,government,there,children,would,being,which,public,years,british,referendum,health,these,other,change,allow,after,child
8d2441b4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
81fc5925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3aa0adf1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
daa4b176,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
e04311a3,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
734582f6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24188af7,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
4eac8798,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
59cba06f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b307fc1c,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443f6df3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5d1e5fb4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bdd9092a,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1716a7e7,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
e667a0ab,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
da22051a,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
36317422,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
f6bf9829,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
347fd709,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
d30e9c86,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
b065d351,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
