petition_uid,should,people,their,government,there,children,would,being,which,public,years,british,referendum,health,these,other,change,allow,after,child
ab5feb40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
812f60f2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72a4c47d,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
96378d8d,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
4360f2bb,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
55142872,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0930a369,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0187831b,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
d6595091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6d188cc9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b8e9abf6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6790aadb,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51dc169f,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
d122c709,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
ce949594,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42a460a2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
b6cf7648,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
1008a329,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
07d786b4,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
6fc2c8f8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6997e144,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
bbb57614,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a457e276,0,1,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0
aaeb0272,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
f32e450f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
71f68b56,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
e8bd4329,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56b3df1c,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
9c271115,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
